771667        16  34.07314 -118.23388  POINT (-13161735.316 4038627.174)        0
767495       183  34.10377 -118.24992  POINT (-13163520.881 4042744.327)        0
767523       123  34.11439 -118.24209  POINT (-13162649.249 4044172.170)        0
767621        85  34.13486 -118.22969  POINT (-13161268.887 4046924.836)        0
718064        78  34.11296 -118.24489  POINT (-13162960.944 4043979.898)        0
717571       117  34.15326 -118.35921  POINT (-13175686.988 4049399.711)        1
760987        36  34.15359 -118.34043  POINT (-13173596.408 4049444.103)        1
717492        72  34.15459 -118.37935  POINT (-13177928.962 4049578.623)        1
769359        47  34.15660 -118.42216  POINT (-13182694.550 4049849.013)        1
717491        71  34.14761 -118.37110  POINT (-13177010.577 4048639.706)        1
769443        63  34.15574 -118.43931  POINT (-13184603.679 4049733.323)        2
765099       131  34.16378 -118.47224  POINT (-13188269.430 4050814.937)        2
717508       150  34.17112 -118.51814  POINT (-13193378.995 4051802.470)        2
772596        86  34.17126 -118.50495  POINT (-13191910.690 4051821.307)        2
767350        88  34.18011 -118.47045  POINT (-13188070.168 4053012.114)        2
716968       112  34.16588 -118.29809  POINT (-13168883.141 4051097.465)        3
717481        96  34.10634 -118.32826  POINT (-13172241.650 4043089.843)        3
717461       160  34.08558 -118.30174  POINT (-13169289.457 4040299.126)        3
716337        17  34.07732 -118.28186  POINT (-13167076.425 4039188.944)        3
761604        51  34.15407 -118.28711  POINT (-13167660.853 4049508.672)        3
